Bat,Rotor,Height,ResPolBat,ResPolRot,desC,operC,resC,c1,c2,c3,c_cum
0,0,60,1,1,0,-14102052.16177801,25535.588439521667,0,0,0,0
0,0,70,1,1,0,-14038105.959186628,26659.484267842738,0,0,0,0
0,0,80,1,1,0,-12175295.774102265,21219.149327872452,0,0,0,0
0,0,90,1,1,0,-13722536.973362884,21118.86055569735,0,0,0,0
0,0,100,1,1,0,-13968585.799450526,21003.1704520947,0,0,0,0
0,0,110,1,1,0,-13915305.973271817,20895.211659799366,0,0,1,1
0,0,120,1,1,0,-13862815.10199388,20779.50961677108,0,0,1,1
0,1,10,1,1,1000,211201647.74491262,43103.81977861783,1,1,0,1
0,1,20,1,1,1000,205600790.8035739,42449.34905244969,1,1,0,1
0,1,30,1,1,1000,-2540064.4400479933,41731.46857916872,1,1,0,1
0,1,40,1,1,1000,-12150200.820529787,30008.689618958735,0,0,0,0
0,1,50,1,1,1000,-12868156.568123717,29660.320467508143,0,0,0,0
0,1,60,1,1,1000,-14102052.16177801,26880.415205874724,0,0,0,0
0,1,70,1,1,1000,-14038105.959186628,26585.874008330877,0,0,0,0
0,1,80,1,1,1000,-12175295.774102265,21173.99764689622,0,0,0,0
0,1,90,1,1,1000,-13722536.973362884,21071.185437308224,0,0,0,0
0,1,100,1,1,1000,-13968585.799450526,20952.58165914173,0,0,0,0
0,1,110,1,1,1000,-13915305.973271817,20841.903407856906,0,0,1,1
0,1,120,1,1,1000,-13862815.10199388,20723.286863131158,0,0,1,1
0,2,10,1,1,2000,212901647.71823916,44060.3794819481,1,1,0,1
0,2,20,1,1,2000,208700790.80024058,43378.56475863412,1,1,0,1
0,2,30,1,1,2000,205010797.85333574,43410.22117129827,1,1,0,1
0,2,40,1,1,2000,-1650200.8205297869,42699.87460655627,1,1,0,1
0,2,50,1,1,2000,-2368156.5681237173,41958.54854657105,1,1,0,1
0,2,60,1,1,2000,-4102052.1617780104,27368.441972227778,1,1,0,1
0,2,70,1,1,2000,-4038105.959186629,27556.663748819006,1,1,0,1
0,2,80,1,1,2000,-12175295.774102265,21940.457077031093,0,0,0,0
0,2,90,1,1,2000,-13722536.973362884,21835.121430030224,0,0,0,0
0,2,100,1,1,2000,-13968585.799450526,21713.60397729988,0,0,0,0
0,2,110,1,1,2000,-13915305.973271817,21600.206267025555,0,0,1,1
0,2,120,1,1,2000,-13862815.10199388,21478.675220602338,0,0,1,1
1,0,10,1,1,300,230001647.7715793,34216.17591352898,1,1,0,1
1,0,20,1,1,300,8049014.294391232,33326.32770590938,1,1,0,1
1,0,30,1,1,300,-13040064.440047994,32331.59675705752,0,0,0,0
1,0,40,1,1,300,-12150200.820529787,21628.775012547587,0,0,0,0
1,0,50,1,1,300,-12868156.568123717,21145.19460255061,0,0,0,0
